Job Title	Company	Location	Category	URL
(USA) Director, Aviation Operations (Midrange Aircraft)	Walmart	Rogers, Argentina	operations_control	https://careers.walmart.com/us/en/jobs/R-2534493
(USA) Corporate Aviation Flight Dispatcher and Planner	Walmart	Rogers, Argentina	operations_control	https://careers.walmart.com/us/en/jobs/R-2547980
Aircraft Mechanic	Cathay Pacific	China	maintenance	https://careers.cathaypacific.com/en/careers/jobs/china/aircraft-mechanic-31260
Aircraft Mechanic	Cathay Pacific	Philippines	maintenance	https://careers.cathaypacific.com/en/careers/jobs/philippines/aircraft-mechanic-31465
Aircraft Mechanic	Cathay Pacific	Canada	maintenance	https://careers.cathaypacific.com/en/careers/jobs/canada/aircraft-mechanic-31391
Aircraft Mechanic	Cathay Pacific	United States	maintenance	https://careers.cathaypacific.com/en/careers/jobs/united-states/aircraft-mechanic-31451
Airport Lead	Cathay Pacific	China	ground_operations	https://careers.cathaypacific.com/en/careers/jobs/china/airport-lead-31320
Airport Manager	Cathay Pacific	China	ground_operations	https://careers.cathaypacific.com/en/careers/jobs/china/airport-manager-31494
Licensed Aircraft Engineer	Cathay Pacific	China	maintenance	https://careers.cathaypacific.com/en/careers/jobs/china/licensed-aircraft-engineer-31230
Licensed Aircraft Engineer	Cathay Pacific	United States	maintenance	https://careers.cathaypacific.com/en/careers/jobs/united-states/licensed-aircraft-engineer-31448
Membership Programme and Operations Manager	Cathay Pacific	China	management	https://careers.cathaypacific.com/en/careers/jobs/china/membership-programme-and-operations-manager-30886
Senior Airport Lead	Cathay Pacific	China	ground_operations	https://careers.cathaypacific.com/en/careers/jobs/china/senior-airport-lead-31240
Senior Maintenance Controller	Cathay Pacific	Hong Kong, Hong Kong	maintenance	https://careers.cathaypacific.com/en/careers/jobs/hong-kong/senior-maintenance-controller-31193
Sustainable Aviation Fuel Procurement and Strategy Manager	Cathay Pacific	Hong Kong, Hong Kong	corporate	https://careers.cathaypacific.com/en/careers/jobs/hong-kong/sustainable-aviation-fuel-procurement-and-strategy-manager-31400
Duty Manager	Malaysia Airlines	Malaysia	operations_control	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23243&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Senior Executive Safety ,Health & Environment	Malaysia Airlines	Malaysia	corporate	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23247&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Head, Shared Services	Malaysia Airlines	Malaysia	management	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23237&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Executive, Inflight Contracts	Malaysia Airlines	Malaysia	corporate	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23151&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Manager, Distribution	Malaysia Airlines	Malaysia	corporate	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=22766&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Manager, Crew System Operations	Malaysia Airlines	Malaysia	crew_control	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23233&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Senior Executive, Leadership Management & Development	Malaysia Airlines	Malaysia	corporate	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23229&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Executive, Customer Insights & Engagement	Malaysia Airlines	Malaysia	other	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23091&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Senior Executive, Commercial & Pricing	Malaysia Airlines	Malaysia	corporate	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23031&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Mechanic (Specialized Heavy & Light)	Malaysia Airlines	Malaysia	maintenance	https://career10.successfactors.com/career?career%5fns=job%5flisting&company=malaysiaaiP&navBarLevel=JOB%5fSEARCH&rcm%5fsite%5flocale=en%5fUS&career_job_req_id=23191&selected_lang=en_GB&jobAlertController_jobAlertId=&jobAlertController_jobAlertName=&browserTimeZone=Asia/Calcutta&_s.crb=0FSLUWtSdHrh0VBP4q6r5qucnjeF%2bPerb2uK6yLO15c%3d
Airline Network & Fleet Planning Specialist	Boeing	Facebook, United States	other	https://jobs.boeing.com/job/-/-/185/96531820496?utm_source=linkedin&utm_medium=job_posting&utm_campaign=ra-us
Electronics Technician Maintenance II	Aviation Training Consulting LLC	ATC - A10 Gowen Field	maintenance	https://recruiting.paylocity.com/Recruiting/Jobs/Details/3011920?source=137523
MH-60R Instructor Pilot	Aviation Training Consulting LLC	San Diego, United States	operations_control	https://recruiting.paylocity.com/Recruiting/Jobs/Details/1034950?source=137523
Dispatcher	Aviation Training Consulting LLC	Kuwait City, Kuwait	operations_control	https://recruiting.paylocity.com/Recruiting/Jobs/Details/4273278?source=137523
Instructional Systems Designer	Aviation Training Consulting LLC	Edmond	corporate	https://recruiting.paylocity.com/Recruiting/Jobs/Details/3924923?source=137523
AC-130J Contract Instructor (CI) Pilot	Aviation Training Consulting LLC	Kirtland AFB	operations_control	https://recruiting.paylocity.com/Recruiting/Jobs/Details/2879883?source=137523
